Station,Region,Lat_North,Long_East,Year,Month,Date,Humidity,Rainfall,Temperature
,,,,2016,September,1-Sep-2016,82,215.8,28.6
,,,,2016,October,1-Oct-2016,86,448.5,27.8
,,,,2016,November,1-Nov-2016,86,698,26.5
,,,,2016,December,1-Dec-2016,88,854.7,26.6
,,,,2017,January,1-Jan-2017,84,390.8,25.75
,,,,2017,February,1-Feb-2017,86,166,25.52
,,,,2017,March,1-Mar-2017,NA,89.4,26.55
,,,,2017,April,1-Apr-2017,84,215.3,27.655
,,,,2017,May,1-May-2017,83,125.3,29
,,,,2017,June,1-Jun-2017,84.32,219.2,28.9
,,,,2017,July,1-Jul-2017,85,253.5,28.095
,,,,2017,August,1-Aug-2017,81,112,28.855
,,,,2017,September,1-Sep-2017,85,913.3,28.4
,,,,2017,October,1-Oct-2017,87,597.8,27.36
,,,,2017,November,1-Nov-2017,87,667.2,27.5
,,,,2017,December,1-Dec-2017,87.66,175.3,26.355
,,,,2018,January,1-Jan-2018,87,445.6,25.8
,,,,2018,February,1-Feb-2018,87,234.3,26.1
,,,,2018,March,1-Mar-2018,82,161.1,26.6
,,,,2018,April,1-Apr-2018,81,123.7,27.9
,,,,2018,May,1-May-2018,82,138.6,28.8
,,,,2018,June,1-Jun-2018,82,190.7,28.4
,,,,2018,July,1-Jul-2018,81,155.4,28.3
,,,,2018,August,1-Aug-2018,77,156,28.9
,,,,2018,September,1-Sep-2018,82,105.4,28.1
,,,,2018,October,1-Oct-2018,80,183.3,27.9
,,,,2018,November,1-Nov-2018,82,399,27.3
,,,,2018,December,1-Dec-2018,85,883,26.5
"AMBULONG, BATANGAS",Region04A,14.09008056,121.05524444,2013,January,1-Jan-2013,78,46.2,25.9
,,,,2013,February,1-Feb-2013,77,122,26.8
,,,,2013,March,1-Mar-2013,76,20.5,27.6
,,,,2013,April,1-Apr-2013,74,42.4,29.1
,,,,2013,May,1-May-2013,81,230.3,29
,,,,2013,June,1-Jun-2013,84,386.1,28.6
,,,,2013,July,1-Jul-2013,85,285.9,27.9
,,,,2013,August,1-Aug-2013,85,524.7,27.4
,,,,2013,September,1-Sep-2013,88,815.8,27.1
,,,,2013,October,1-Oct-2013,83,121.1,26.9
,,,,2013,November,1-Nov-2013,82,225.2,27.3
,,,,2013,December,1-Dec-2013,81,49.1,27.1
,,,,2014,January,1-Jan-2014,74,0.5,24.7
,,,,2014,February,1-Feb-2014,76,T,25.6
,,,,2014,March,1-Mar-2014,77,28.1,27
,,,,2014,April,1-Apr-2014,75,23.4,28.3
,,,,2014,May,1-May-2014,80,154.6,29.8
,,,,2014,June,1-Jun-2014,83,78.9,28.9
,,,,2014,July,1-Jul-2014,87,406.7,27.6
,,,,2014,August,1-Aug-2014,83,212.5,27.7
,,,,2014,September,1-Sep-2014,85,321.5,27.4
,,,,2014,October,1-Oct-2014,86,233.8,27.3
,,,,2014,November,1-Nov-2014,80,120.3,27.2
,,,,2014,December,1-Dec-2014,83,324.8,26.4
,,,,2015,January,1-Jan-2015,80,50.8,25.2
,,,,2015,February,1-Feb-2015,77,5,25.8
,,,,2015,March,1-Mar-2015,74,15.2,26.6
,,,,2015,April,1-Apr-2015,74,T,28.7
,,,,2015,May,1-May-2015,76,11.7,29.5
,,,,2015,June,1-Jun-2015,81,159.7,29.4
,,,,2015,July,1-Jul-2015,83,309.1,28.1
,,,,2015,August,1-Aug-2015,85,265.3,28.1
,,,,2015,September,1-Sep-2015,85,243.8,28
,,,,2015,October,1-Oct-2015,84,230.2,27.8
,,,,2015,November,1-Nov-2015,82,43.4,28.1
,,,,2015,December,1-Dec-2015,83,292.5,26.8
,,,,2016,January,1-Jan-2016,81,18.7,26.7
,,,,2016,February,1-Feb-2016,79,45.3,26.6
,,,,2016,March,1-Mar-2016,79,10.2,27.8
,,,,2016,April,1-Apr-2016,74,8.2,30
,,,,2016,May,1-May-2016,78,101.4,30.5
,,,,2016,June,1-Jun-2016,85,95.6,29.6
,,,,2016,July,1-Jul-2016,85,225.5,28.9
,,,,2016,August,1-Aug-2016,86,375.4,28.4
,,,,2016,September,1-Sep-2016,86,167,28.4
,,,,2016,October,1-Oct-2016,87,312.3,27.9
,,,,2016,November,1-Nov-2016,85,162.1,27.6
,,,,2016,December,1-Dec-2016,84,187.3,27.4
,,,,2017,January,1-Jan-2017,83.18,87.1,26.36
,,,,2017,February,1-Feb-2017,79.9,20.2,25.905
,,,,2017,March,1-Mar-2017,77,19.4,27.35
,,,,2017,April,1-Apr-2017,78.08,17.8,29.185
,,,,2017,May,1-May-2017,80,126.6,30.02
,,,,2017,June,1-Jun-2017,83,115.8,29.45
,,,,2017,July,1-Jul-2017,85,254,28.355
,,,,2017,August,1-Aug-2017,86.98,375,28.59
,,,,2017,September,1-Sep-2017,87.27,584.9,28.495
,,,,2017,October,1-Oct-2017,87.29,241.7,28
,,,,2017,November,1-Nov-2017,84,189.7,28.195
,,,,2017,December,1-Dec-2017,84,183.7,27
,,,,2018,January,1-Jan-2018,82,40.1,26.5
,,,,2018,February,1-Feb-2018,76,2.4,27.3
,,,,2018,March,1-Mar-2018,77,4,27.6
,,,,2018,April,1-Apr-2018,75,6,29.3
,,,,2018,May,1-May-2018,78,131.5,29.8
,,,,2018,June,1-Jun-2018,85,488.4,28.3
,,,,2018,July,1-Jul-2018,87,596.2,27.7
,,,,2018,August,1-Aug-2018,84,160.8,28.2
,,,,2018,September,1-Sep-2018,86,255.6,27.9
,,,,2018,October,1-Oct-2018,82,127.7,28.1
,,,,2018,November,1-Nov-2018,81,20.3,27.9
,,,,2018,December,1-Dec-2018,84,286.2,26.9
"APARRI, CAGAYAN",Region02,18.35968056,121.63043333,2013,January,1-Jan-2013,86,70,24.3
,,,,2013,February,1-Feb-2013,84,18,26
,,,,2013,March,1-Mar-2013,83,11.5,27.4
,,,,2013,April,1-Apr-2013,82,10.5,28.6
,,,,2013,May,1-May-2013,82,86.5,28.9
,,,,2013,June,1-Jun-2013,80,41.5,30.4
,,,,2013,July,1-Jul-2013,82,95,29.6
,,,,2013,August,1-Aug-2013,83,134.7,29
,,,,2013,September,1-Sep-2013,84,268,28.4
,,,,2013,October,1-Oct-2013,84,547.5,27.6
,,,,2013,November,1-Nov-2013,85,208,26.7
,,,,2013,December,1-Dec-2013,88,157,24.9
,,,,2014,January,1-Jan-2014,88,63.5,23.1
,,,,2014,February,1-Feb-2014,87,22.5,24.6
,,,,2014,March,1-Mar-2014,84,7.5,26.2
,,,,2014,April,1-Apr-2014,82,2.5,28.6
,,,,2014,May,1-May-2014,80,32.5,30
,,,,2014,June,1-Jun-2014,81,197,29.3
,,,,2014,July,1-Jul-2014,82,358.5,28.3
,,,,2014,August,1-Aug-2014,82,133,28.2
,,,,2014,September,1-Sep-2014,84,239.5,28.7
,,,,2014,October,1-Oct-2014,83,114,28.1
,,,,2014,November,1-Nov-2014,85,48.5,27.2
,,,,2014,December,1-Dec-2014,86,203.5,24.6
,,,,2015,January,1-Jan-2015,89,77.5,24.2
,,,,2015,February,1-Feb-2015,87,63.6,24.4
,,,,2015,March,1-Mar-2015,85,27.5,27.5
,,,,2015,April,1-Apr-2015,NA,37.8,NA
,,,,2015,May,1-May-2015,80,95,28.8
,,,,2015,June,1-Jun-2015,76,50.3,30.3
,,,,2015,July,1-Jul-2015,83,166.6,29.6
,,,,2015,August,1-Aug-2015,76,446.3,28.8
,,,,2015,September,1-Sep-2015,76,30.3,28.7
,,,,2015,October,1-Oct-2015,78,422.9,27.9
,,,,2015,November,1-Nov-2015,87,79.9,26.6
,,,,2015,December,1-Dec-2015,89,308.7,25
,,,,2016,January,1-Jan-2016,85,52.7,24.8
,,,,2016,February,1-Feb-2016,88,162.1,23.7
,,,,2016,March,1-Mar-2016,84,41.1,NA
,,,,2016,April,1-Apr-2016,80,T,NA
,,,,2016,May,1-May-2016,80,115.3,29.4
,,,,2016,June,1-Jun-2016,80,112.1,29.8
,,,,2016,July,1-Jul-2016,84,302.4,29.8
,,,,2016,August,1-Aug-2016,87,91.9,29.1
,,,,2016,September,1-Sep-2016,83,212.1,28.7
,,,,2016,October,1-Oct-2016,84,278,28.2
,,,,2016,November,1-Nov-2016,89,324,26.2
,,,,2016,December,1-Dec-2016,90,367.1,25.3
,,,,2017,January,1-Jan-2017,91.75,115.5,24.12
,,,,2017,February,1-Feb-2017,92,159.4,23.35
,,,,2017,March,1-Mar-2017,84.1,24.2,25.69
,,,,2017,April,1-Apr-2017,86,43.1,27.54
,,,,2017,May,1-May-2017,84.26,182.6,28.8
,,,,2017,June,1-Jun-2017,82.17,121.2,29.835
,,,,2017,July,1-Jul-2017,79,41.9,29.395
,,,,2017,August,1-Aug-2017,83,293.4,28.925
,,,,2017,September,1-Sep-2017,83.26,156.3,29
,,,,2017,October,1-Oct-2017,86,516.7,27.3
,,,,2017,November,1-Nov-2017,86,446.2,26.65
,,,,2017,December,1-Dec-2017,86,125.6,24.3
,,,,2018,January,1-Jan-2018,86,117.1,24.2
,,,,2018,February,1-Feb-2018,87,165.9,24.2
,,,,2018,March,1-Mar-2018,77,68.3,25.5
,,,,2018,April,1-Apr-2018,71,25,26.4
,,,,2018,May,1-May-2018,78,3.8,NA
,,,,2018,June,1-Jun-2018,79,43.9,NA
,,,,2018,July,1-Jul-2018,82,167.5,NA
,,,,2018,August,1-Aug-2018,84,160.8,NA
,,,,2018,September,1-Sep-2018,85,265.1,NA
,,,,2018,October,1-Oct-2018,82,305.5,NA
,,,,2018,November,1-Nov-2018,85,71.9,NA
,,,,2018,December,1-Dec-2018,87,246.8,NA
"BAGUIO CITY, BENGUET",CAR,16.4,120.6,2013,January,1-Jan-2013,87,11.4,18.1
,,,,2013,February,1-Feb-2013,83,26.8,19.6
,,,,2013,March,1-Mar-2013,86,63.6,20.2
,,,,2013,April,1-Apr-2013,84,70.3,21.4
,,,,2013,May,1-May-2013,88,338.7,20.7
,,,,2013,June,1-Jun-2013,91,232.8,20.4
,,,,2013,July,1-Jul-2013,92,368.2,20
,,,,2013,August,1-Aug-2013,92,1220.4,19
,,,,2013,September,1-Sep-2013,91,590.1,19.5
,,,,2013,October,1-Oct-2013,91,240,18.5
,,,,2013,November,1-Nov-2013,86,53.5,19.1
,,,,2013,December,1-Dec-2013,88,23.6,18.7
,,,,2014,January,1-Jan-2014,85,0,15.8
,,,,2014,February,1-Feb-2014,86,T,17.4
,,,,2014,March,1-Mar-2014,86,5.9,19
,,,,2014,April,1-Apr-2014,89,126.3,20.1
,,,,2014,May,1-May-2014,88,213,20.7
,,,,2014,June,1-Jun-2014,92,401.7,20
,,,,2014,July,1-Jul-2014,93,444.2,19.4
,,,,2014,August,1-Aug-2014,92,531.9,19.4
,,,,2014,September,1-Sep-2014,92,985.4,19.3
,,,,2014,October,1-Oct-2014,88,107.1,19.6
,,,,2014,November,1-Nov-2014,84,39.2,19.6
,,,,2014,December,1-Dec-2014,83,9.5,19.2
,,,,2015,January,1-Jan-2015,84,11.3,17
,,,,2015,February,1-Feb-2015,83,7.3,17.6
,,,,2015,March,1-Mar-2015,79,57.1,19
,,,,2015,April,1-Apr-2015,82,121.8,20
,,,,2015,May,1-May-2015,85,245.5,20.5
,,,,2015,June,1-Jun-2015,89,282.5,20.7
,,,,2015,July,1-Jul-2015,92,1493.9,20.1
,,,,2015,August,1-Aug-2015,93,1031.6,19.1
,,,,2015,September,1-Sep-2015,91,263.6,20
,,,,2015,October,1-Oct-2015,88,1212.2,19.3
,,,,2015,November,1-Nov-2015,78,8,19.8
,,,,2015,December,1-Dec-2015,84,167.1,19.2
,,,,2016,January,1-Jan-2016,82,5.2,18.6
,,,,2016,February,1-Feb-2016,83,4.2,18.2
,,,,2016,March,1-Mar-2016,84,9.4,19.4
,,,,2016,April,1-Apr-2016,82,62,21.3
,,,,2016,May,1-May-2016,86,213.3,21
,,,,2016,June,1-Jun-2016,88,176.3,20.6
,,,,2016,July,1-Jul-2016,90,426.8,20
,,,,2016,August,1-Aug-2016,95,955.6,18.7
,,,,2016,September,1-Sep-2016,91,412.1,19.5
,,,,2016,October,1-Oct-2016,89,583.2,19.5
,,,,2016,November,1-Nov-2016,NA,NA,NA
,,,,2016,December,1-Dec-2016,84,82,19.3
,,,,2017,January,1-Jan-2017,NA,39.9,17.85
,,,,2017,February,1-Feb-2017,85.51,71.5,17.48
,,,,2017,March,1-Mar-2017,83,4.7,19.535
,,,,2017,April,1-Apr-2017,85,61.3,20.5
,,,,2017,May,1-May-2017,89.85,570.1,20.735
,,,,2017,June,1-Jun-2017,88.8,208.5,21.1
,,,,2017,July,1-Jul-2017,90,751,19.9
,,,,2017,August,1-Aug-2017,93,449.6,19.89
,,,,2017,September,1-Sep-2017,92,206.9,20.09
,,,,2017,October,1-Oct-2017,89,230,19.7
,,,,2017,November,1-Nov-2017,86.24,120,20.02
,,,,2017,December,1-Dec-2017,85.72,28.4,19.135
,,,,2018,January,1-Jan-2018,82,15.2,19.1
,,,,2018,February,1-Feb-2018,83,1.2,19.3
,,,,2018,March,1-Mar-2018,82,5.8,19.1
,,,,2018,April,1-Apr-2018,87,204,20.1
,,,,2018,May,1-May-2018,88,283.2,20.9
,,,,2018,June,1-Jun-2018,93,552.6,19.5
,,,,2018,July,1-Jul-2018,94,1002.5,19.2
,,,,2018,August,1-Aug-2018,96,1822.6,18.5
,,,,2018,September,1-Sep-2018,92,1219.6,19.5
,,,,2018,October,1-Oct-2018,89,268.6,19.5
,,,,2018,November,1-Nov-2018,81,17.8,19.4
,,,,2018,December,1-Dec-2018,81,22.8,18.9
"BALER, AURORA",Region03,15.74936667,121.63204722,2013,January,1-Jan-2013,89,204.7,24
,,,,2013,February,1-Feb-2013,91,430.9,25.1
,,,,2013,March,1-Mar-2013,88,331.6,25.5
,,,,2013,April,1-Apr-2013,87,238,27.5
,,,,2013,May,1-May-2013,85,198.2,27.9
,,,,2013,June,1-Jun-2013,85,296.6,27.8
,,,,2013,July,1-Jul-2013,88,616.4,26.5
,,,,2013,August,1-Aug-2013,85,291.9,26.8
,,,,2013,September,1-Sep-2013,84,364.2,27.1
,,,,2013,October,1-Oct-2013,82,232.7,26.8
,,,,2013,November,1-Nov-2013,91,441.2,25.2
,,,,2013,December,1-Dec-2013,90,678.7,24.4
,,,,2014,January,1-Jan-2014,79,33.9,23.1
,,,,2014,February,1-Feb-2014,86,134.2,24.4
,,,,2014,March,1-Mar-2014,87,342.7,25
,,,,2014,April,1-Apr-2014,86,108,26.8
,,,,2014,May,1-May-2014,85,112.3,28.7
,,,,2014,June,1-Jun-2014,77,42.2,30.5
,,,,2014,July,1-Jul-2014,81,140.7,28.6
,,,,2014,August,1-Aug-2014,80,251.3,28.4
,,,,2014,September,1-Sep-2014,83,294.1,28
,,,,2014,October,1-Oct-2014,83,366.3,27.4
,,,,2014,November,1-Nov-2014,84,167.6,26.6
,,,,2014,December,1-Dec-2014,88,NA,24.7
,,,,2015,January,1-Jan-2015,81,96.5,24
,,,,2015,February,1-Feb-2015,84,120.8,24
,,,,2015,March,1-Mar-2015,83,154.1,25.4
,,,,2015,April,1-Apr-2015,85,160,26.8
,,,,2015,May,1-May-2015,80,76.6,28.8
,,,,2015,June,1-Jun-2015,81,140,28.9
,,,,2015,July,1-Jul-2015,79,122.6,28
,,,,2015,August,1-Aug-2015,76,51.8,29.4
,,,,2015,September,1-Sep-2015,82,320.7,27.8
,,,,2015,October,1-Oct-2015,81,285.1,27.7
,,,,2015,November,1-Nov-2015,84,132.7,28
,,,,2015,December,1-Dec-2015,87,1028.8,26
,,,,2016,January,1-Jan-2016,78,148.4,26
,,,,2016,February,1-Feb-2016,84,157.4,25.5
,,,,2016,March,1-Mar-2016,85,187.4,26.2
,,,,2016,April,1-Apr-2016,84,169.6,28
,,,,2016,May,1-May-2016,85,293.7,28.1
,,,,2016,June,1-Jun-2016,85,325.1,28.6
,,,,2016,July,1-Jul-2016,82,140.4,28.5
,,,,2016,August,1-Aug-2016,78,133.6,28.4
,,,,2016,September,1-Sep-2016,78,287.4,28.8
,,,,2016,October,1-Oct-2016,85,470.6,27.6
,,,,2016,November,1-Nov-2016,85,619.1,26.8
,,,,2016,December,1-Dec-2016,88,452.4,25.6
,,,,2017,January,1-Jan-2017,87,622,24.325
,,,,2017,February,1-Feb-2017,85,429.6,24.19
,,,,2017,March,1-Mar-2017,92,237.4,25.73
,,,,2017,April,1-Apr-2017,86,151.2,27.045
,,,,2017,May,1-May-2017,87.04,411.2,28.265
,,,,2017,June,1-Jun-2017,84.31,382.2,28.315
,,,,2017,July,1-Jul-2017,86.45,624.5,27.225
,,,,2017,August,1-Aug-2017,81,244.8,28.46
,,,,2017,September,1-Sep-2017,83.49,337.6,28.215
,,,,2017,October,1-Oct-2017,83.51,283,27.25
,,,,2017,November,1-Nov-2017,91.44,864.3,26.19
,,,,2017,December,1-Dec-2017,86,179,25.14
,,,,2018,January,1-Jan-2018,88,303,24.8
,,,,2018,February,1-Feb-2018,84,127.5,26.1
,,,,2018,March,1-Mar-2018,84,152.4,26.1
,,,,2018,April,1-Apr-2018,87,192.7,27
,,,,2018,May,1-May-2018,87,288.2,27.9
,,,,2018,June,1-Jun-2018,84,186.3,28.3
,,,,2018,July,1-Jul-2018,85,316.2,27.8
,,,,2018,August,1-Aug-2018,85,95.8,28.1
,,,,2018,September,1-Sep-2018,86,387.6,27.8
,,,,2018,October,1-Oct-2018,86,327.7,27.5
,,,,2018,November,1-Nov-2018,87,102.7,26.9
,,,,2018,December,1-Dec-2018,90,446.8,25.4
"BASCO, BATANES",Region02,20.42773056,121.97064167,2013,January,1-Jan-2013,80,218.4,20.2
,,,,2013,February,1-Feb-2013,83,59.2,21.4
,,,,2013,March,1-Mar-2013,82,39.8,22.7
,,,,2013,April,1-Apr-2013,86,66.1,23.1
,,,,2013,May,1-May-2013,85,135,25.5
,,,,2013,June,1-Jun-2013,83,83.2,26.8
,,,,2013,July,1-Jul-2013,83,146.2,26.1
,,,,2013,August,1-Aug-2013,85,392.1,25.7
,,,,2013,September,1-Sep-2013,84,592.2,24.8
,,,,2013,October,1-Oct-2013,75,59.3,23.7
,,,,2013,November,1-Nov-2013,81,161.8,23.2
,,,,2013,December,1-Dec-2013,82,141.4,20.7
,,,,2014,January,1-Jan-2014,73,55,20.1
,,,,2014,February,1-Feb-2014,82,24.1,20.8
,,,,2014,March,1-Mar-2014,84,20.1,22.1
,,,,2014,April,1-Apr-2014,83,65.1,25
,,,,2014,May,1-May-2014,86,70.9,28
,,,,2014,June,1-Jun-2014,87,321.3,28
,,,,2014,July,1-Jul-2014,87,174,27.7
,,,,2014,August,1-Aug-2014,88,161.6,27.3
,,,,2014,September,1-Sep-2014,86,154,27.1
,,,,2014,October,1-Oct-2014,80,68.1,25.1
,,,,2014,November,1-Nov-2014,82,122.1,23.9
,,,,2014,December,1-Dec-2014,83,135.9,20.6
,,,,2015,January,1-Jan-2015,78,100.8,19.8
,,,,2015,February,1-Feb-2015,80,28.7,21.4
,,,,2015,March,1-Mar-2015,83,26.9,23.3
,,,,2015,April,1-Apr-2015,86,137.4,25.1
,,,,2015,May,1-May-2015,91,181.7,26.8
,,,,2015,June,1-Jun-2015,83,22,28.2
,,,,2015,July,1-Jul-2015,86,92.7,27.1
,,,,2015,August,1-Aug-2015,85,238.5,27.4
,,,,2015,September,1-Sep-2015,83,100.4,26.9
,,,,2015,October,1-Oct-2015,86,363.9,25.3
,,,,2015,November,1-Nov-2015,86,130.2,24.8
,,,,2015,December,1-Dec-2015,83,93,23
,,,,2016,January,1-Jan-2016,78,164.8,22
,,,,2016,February,1-Feb-2016,82,108.4,20..8
,,,,2016,March,1-Mar-2016,85,32.8,22.2
,,,,2016,April,1-Apr-2016,84,12.5,26.9
,,,,2016,May,1-May-2016,84,203.3,27.8
,,,,2016,June,1-Jun-2016,86,128.7,28.1
,,,,2016,July,1-Jul-2016,85,215.7,28.1
,,,,2016,August,1-Aug-2016,88,502.7,27.6
,,,,2016,September,1-Sep-2016,88,630.8,27
,,,,2016,October,1-Oct-2016,87,361.4,26.6
,,,,2016,November,1-Nov-2016,80,309.6,24.4
,,,,2016,December,1-Dec-2016,83,178.4,22.7
,,,,2017,January,1-Jan-2017,81,117.3,21.635
,,,,2017,February,1-Feb-2017,79.14,70,20.9
,,,,2017,March,1-Mar-2017,81,10.1,22.55
,,,,2017,April,1-Apr-2017,83,85.1,24.505
,,,,2017,May,1-May-2017,88.35,422,26.4
,,,,2017,June,1-Jun-2017,84.1,45.7,28.345
,,,,2017,July,1-Jul-2017,85.13,294,27.615
,,,,2017,August,1-Aug-2017,87,379.6,27.45
,,,,2017,September,1-Sep-2017,87.16,144.7,27.895
,,,,2017,October,1-Oct-2017,83.96,355.5,26
,,,,2017,November,1-Nov-2017,86,705,24.985
,,,,2017,December,1-Dec-2017,84,346.4,21.05
,,,,2018,January,1-Jan-2018,86,138.1,21.3
,,,,2018,February,1-Feb-2018,89,172.8,21.1
,,,,2018,March,1-Mar-2018,81,31.4,22.5
,,,,2018,April,1-Apr-2018,88,15.2,24.5
,,,,2018,May,1-May-2018,88,9.8,27.8
,,,,2018,June,1-Jun-2018,NA,431,27.2
,,,,2018,July,1-Jul-2018,93,302.1,27.1
,,,,2018,August,1-Aug-2018,93,566.9,26.8
,,,,2018,September,1-Sep-2018,91,416.1,26.7
,,,,2018,October,1-Oct-2018,89,125.2,25
,,,,2018,November,1-Nov-2018,93,90.7,24.8
,,,,2018,December,1-Dec-2018,88,262.5,23.4
"BORONGAN, EASTERN SAMAR",Region08,11.66090833,125.44363889,2013,January,1-Jan-2013,91,731.7,26.5
,,,,2013,February,1-Feb-2013,89,681.7,27.1
,,,,2013,March,1-Mar-2013,87,423.7,27.4
,,,,2013,April,1-Apr-2013,86,158.4,27.7
,,,,2013,May,1-May-2013,85,207.6,28.3
,,,,2013,June,1-Jun-2013,87,314.6,28.1
,,,,2013,July,1-Jul-2013,90,498.9,27.7
,,,,2013,August,1-Aug-2013,88,238.9,27.9
,,,,2013,September,1-Sep-2013,86,50,28.4
,,,,2013,October,1-Oct-2013,87,167.8,27.7
,,,,2013,November,1-Nov-2013,90,643.4,27.2
,,,,2013,December,1-Dec-2013,89,931.6,27.3
,,,,2014,January,1-Jan-2014,92,1184.5,25.1
,,,,2014,February,1-Feb-2014,88,181.5,26
,,,,2014,March,1-Mar-2014,87,437.8,26.6
,,,,2014,April,1-Apr-2014,88,559.9,27.2
,,,,2014,May,1-May-2014,85,114.8,28.3
,,,,2014,June,1-Jun-2014,86,266.2,28.1
,,,,2014,July,1-Jul-2014,86,207.8,27.6
,,,,2014,August,1-Aug-2014,86,120.4,27.5
,,,,2014,September,1-Sep-2014,87,334,27
,,,,2014,October,1-Oct-2014,87,355.6,27.6
,,,,2014,November,1-Nov-2014,88,553.3,26.9
,,,,2014,December,1-Dec-2014,89,1366.5,26.8
,,,,2015,January,1-Jan-2015,85,615,26
,,,,2015,February,1-Feb-2015,85,237.1,25.8
,,,,2015,March,1-Mar-2015,84,132.4,26.2
,,,,2015,April,1-Apr-2015,85,160.9,27.4
,,,,2015,May,1-May-2015,84,93.7,27.5
,,,,2015,June,1-Jun-2015,87,278,27.6
,,,,2015,July,1-Jul-2015,83,72.2,28.2
,,,,2015,August,1-Aug-2015,82,78,28.4
,,,,2015,September,1-Sep-2015,86,166.3,27.8
,,,,2015,October,1-Oct-2015,84,165.7,27.9
,,,,2015,November,1-Nov-2015,86,495.3,27.4
,,,,2015,December,1-Dec-2015,87,271.3,27
,,,,2016,January,1-Jan-2016,88,178.5,26.4
,,,,2016,February,1-Feb-2016,89,378,26.1
,,,,2016,March,1-Mar-2016,87,86.4,26.5
,,,,2016,April,1-Apr-2016,84,57.1,28
,,,,2016,May,1-May-2016,85,358.2,28.1
,,,,2016,June,1-Jun-2016,87,286.6,28
,,,,2016,July,1-Jul-2016,86,212.7,27.8
,,,,2016,August,1-Aug-2016,83,101.8,28.6
,,,,2016,September,1-Sep-2016,86,258.7,28.2
,,,,2016,October,1-Oct-2016,87,267.2,27.7
,,,,2016,November,1-Nov-2016,88,755.5,25.7
,,,,2016,December,1-Dec-2016,89,751.8,26.9
,,,,2017,January,1-Jan-2017,88,823,26.525
,,,,2017,February,1-Feb-2017,87,315.6,25.995
,,,,2017,March,1-Mar-2017,87,531.3,26.535
,,,,2017,April,1-Apr-2017,86,362.5,27.25
,,,,2017,May,1-May-2017,87,235.3,28.21
,,,,2017,June,1-Jun-2017,86,162.8,28.06
,,,,2017,July,1-Jul-2017,89,399.8,26.95
,,,,2017,August,1-Aug-2017,87.06,926,27.84
,,,,2017,September,1-Sep-2017,87.29,225.5,28.2
,,,,2017,October,1-Oct-2017,87,303.1,27.6
,,,,2017,November,1-Nov-2017,87,397.9,28.07
,,,,2017,December,1-Dec-2017,89,1416.2,27.4
,,,,2018,January,1-Jan-2018,90,991.5,27.4
,,,,2018,February,1-Feb-2018,91,1446.6,26.3
,,,,2018,March,1-Mar-2018,86,398.9,27
,,,,2018,April,1-Apr-2018,86,295.2,27.7
,,,,2018,May,1-May-2018,87,337.3,28
,,,,2018,June,1-Jun-2018,85,152.4,28.2
,,,,2018,July,1-Jul-2018,84,199.8,28.8
,,,,2018,August,1-Aug-2018,84,175.6,28.8
